#================================================================#
# SMARTS2 -- Algorithms and performance assessment               #
#================================================================#
#
# APPENDIX: Extraterrestrial spectrum and absorption coefficients
#           at their reference temperature
#
# λ      E0nλ       Awλ        Aoλ      Anλ  
508    1.8567   2.86E-04   4.13E-02    5.50
509    1.9665   1.63E-04   4.04E-02    5.98
510    1.9029   9.72E-05   3.99E-02    5.85
511    1.9373   2.98E-05   3.96E-02    5.61
512    1.9960   8.12E-06   4.01E-02    5.30
513    1.8645   5.35E-06   4.10E-02    4.61
514    1.8237   0.00E+00   4.20E-02    4.12
515    1.8804   0.00E+00   4.29E-02    3.80
516    1.8695   0.00E+00   4.38E-02    3.59
517    1.5183   0.00E+00   4.47E-02    3.70
518    1.7289   0.00E+00   4.55E-02    4.20
519    1.7665   0.00E+00   4.64E-02    4.28
520    1.8684   0.00E+00   4.74E-02    4.05
521    1.8384   0.00E+00   4.89E-02    3.73
522    1.9206   0.00E+00   5.05E-02    3.68
523    1.7997   0.00E+00   5.25E-02    3.75
524    1.9088   9.81E-06   5.49E-02    4.30
525    1.9470   1.26E-05   5.75E-02    4.77
526    1.8630   9.63E-07   6.01E-02    4.52
527    1.6928   9.51E-06   6.28E-02    4.17
528    1.8548   9.39E-07   6.54E-02    3.89
529    1.9819   4.48E-06   6.79E-02    3.62
530    1.8887   2.48E-06   7.01E-02    3.60
531    2.0090   2.45E-06   7.20E-02    3.53
532    1.9100   0.00E+00   7.34E-02    3.45
533    1.8172   0.00E+00   7.43E-02    3.06
534    1.8898   0.00E+00   7.48E-02    2.60
535    1.9271   0.00E+00   7.49E-02    2.29
536    1.9720   0.00E+00   7.47E-02    2.21
537    1.8126   0.00E+00   7.47E-02    2.35
538    1.9208   2.26E-06   7.51E-02    2.70
539    1.8649   6.10E-06   7.58E-02    2.59
540    1.7989   4.50E-05   7.69E-02    2.30
541    1.8084   2.00E-04   7.82E-02    2.65
542    1.8804   2.12E-04   7.98E-02    3.09
543    1.8233   5.20E-05   8.14E-02    3.10
544    1.9406   1.53E-04   8.29E-02    3.03
545    1.9016   9.74E-05   8.42E-02    3.00
546    1.8810   2.25E-04   8.52E-02    2.74
547    1.8872   9.10E-05   8.63E-02    2.88
548    1.8342   3.83E-05   8.72E-02    2.88
549    1.8952   1.80E-05   8.79E-02    2.70
550    1.8806   1.78E-05   8.86E-02    2.34
551    1.8495   7.48E-06   8.95E-02    2.15
552    1.8885   1.94E-06   9.05E-02    2.29
553    1.8338   1.92E-06   9.15E-02    2.27
554    1.8868   0.00E+00   9.28E-02    1.95
555    1.8961   0.00E+00   9.42E-02    1.60
556    1.8525   0.00E+00   9.59E-02    1.48
557    1.7988   0.00E+00   9.79E-02    1.47
558    1.8301   0.00E+00   1.00E-01    1.41
559    1.7430   0.00E+00   1.03E-01    1.33
560    1.8020   0.00E+00   1.05E-01    1.40
561    1.8708   0.00E+00   1.08E-01    1.53
562    1.8133   0.00E+00   1.10E-01    1.70
563    1.8822   6.18E-07   1.13E-01    2.12
564    1.8421   6.11E-07   1.15E-01    2.29 
565    1.8486   6.04E-07   1.17E-01    1.98 
566    1.8005   1.67E-06   1.18E-01    1.54 
567    1.8636   8.42E-06   1.20E-01    1.60  
568    1.8500   1.30E-04   1.21E-01    1.69 
569    1.8270   7.06E-04   1.23E-01    1.68 
570    1.8170   3.95E-04   1.25E-01    1.9  
571    1.7441   6.40E-05   1.26E-01    1.94 
572    1.8649   3.01E-04   1.27E-01    1.75 
573    1.8449   2.24E-04   1.28E-01    1.42 
574    1.8773   1.82E-04   1.28E-01    1.15 
575    1.8130   1.98E-04   1.28E-01    0.95 
576    1.7948   1.38E-04   1.27E-01    0.80  
577    1.8453   1.03E-04   1.26E-01    0.80  
578    1.7619   3.63E-05   1.25E-01    0.99 
579    1.8634   1.39E-05   1.24E-01    1.10  
580    1.8369   9.45E-06   1.23E-01    1.02 
581    1.8292   5.66E-06   1.22E-01    0.85 
582    1.8632   9.29E-06   1.21E-01    0.78 
583    1.8502   9.21E-06   1.20E-01    0.82 
584    1.8741   2.06E-05   1.19E-01    1.00    
585    1.8252   3.15E-05   1.18E-01    1.15 
586    1.7757   8.46E-05   1.18E-01    1.13 
587    1.8393   2.94E-04   1.18E-01    1.01 
588    1.8024   1.62E-03   1.18E-01    0.93 
589    1.6172   5.64E-03   1.18E-01    1.00    
590    1.7497   5.39E-03   1.19E-01    1.04 
591    1.8083   3.09E-03   1.20E-01    1.28 
592    1.8002   4.72E-03   1.21E-01    1.38 
593    1.8331   2.69E-03   1.23E-01    1.21 
594    1.7942   3.13E-03   1.25E-01    0.92 
595    1.7812   4.27E-03   1.28E-01    0.72 
596    1.7898   1.56E-03   1.30E-01    0.67 
597    1.7968   1.79E-03   1.33E-01    0.66 
598    1.8060   1.20E-03   1.35E-01    0.68 
599    1.7855   8.20E-04   1.37E-01    0.79 
